continent,year,mean_gdp
Africa,1952,39.1355
Africa,1957,41.26634615384615
Africa,1962,43.319442307692306
Africa,1967,45.334538461538465
Asia,1952,46.31439393939394
Africa,1972,47.45094230769231
Asia,1957,49.318544242424245
Africa,1977,49.580423076923076
Asia,1962,51.56322303030303
Africa,1982,51.592865384615386
Americas,1952,53.27984
Africa,2002,53.32523076923077
Africa,1987,53.344788461538464
Africa,1997,53.59826923076923
Africa,1992,53.629576923076925
Asia,1967,54.66364
Africa,2007,54.80603846153846
Americas,1957,55.96028
Asia,1972,57.31926909090909
Americas,1962,58.39876
Asia,1977,59.61055636363636
Americas,1967,60.41092
Americas,1972,62.39492
Asia,1982,62.617939393939395
Americas,1977,64.39156
Europe,1952,64.4085
Asia,1987,64.85118181818181
Americas,1982,66.22884
Asia,1992,66.53721212121212
Europe,1957,66.70306666666667
Asia,1997,68.02051515151516
Americas,1987,68.09072
Europe,1962,68.53923333333333
Asia,2002,69.2338787878788
Oceania,1952,69.255
Americas,1992,69.56836
Europe,1967,69.7376
Oceania,1957,70.295
Asia,2007,70.72848484848485
Europe,1972,70.77503333333334
Oceania,1962,71.08500000000001
Americas,1997,71.15048
Oceania,1967,71.31
Oceania,1972,71.91
Europe,1977,71.93776666666666
Americas,2002,72.42204
Europe,1982,72.8064
Oceania,1977,72.85499999999999
Americas,2007,73.60812
Europe,1987,73.64216666666667
Oceania,1982,74.28999999999999
Europe,1992,74.4401
Oceania,1987,75.32
Europe,1997,75.50516666666667
Europe,2002,76.7006
Oceania,1992,76.945
Europe,2007,77.6486
Oceania,1997,78.19
Oceania,2002,79.74000000000001
Oceania,2007,80.7195
